gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
HOU202403280,torrg001,NYA,1,4,value,27,3,1,0,1,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,sotoj001,NYA,1,9,value,27,1,1,0,0,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,judga001,NYA,1,8,value,27,2,0,0,0,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,rizza001,NYA,1,3,value,27,6,1,0,1,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,volpa001,NYA,1,6,value,27,1,4,0,1,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,verda001,NYA,1,7,value,27,4,0,0,0,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,trevj001,NYA,1,2,value,27,9,0,0,0,0,0,0,0,0,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,cabro002,NYA,1,5,value,27,0,1,0,0,0,,,,,1,20240328,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU202403280,valdf001,HOU,1,1,value,14,0,0,0,0,0,,,,,1,20240328,0,HOU03,h,NYA,0,1,0,regular,y,y
HOU202403280,marts003,HOU,1,1,value,1,0,0,0,0,0,,,,,0,20240328,0,HOU03,h,NYA,0,1,0,regular,y,y
HOU202403280,montr004,HOU,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,HOU03,h,NYA,0,1,0,regular,y,y
HOU202403280,presr001,HOU,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,HOU03,h,NYA,0,1,0,regular,y,y
